number,species,wing,weight
68  ,  SS  ,  176  ,  100
98  ,  SS  ,  208  ,  168
103  ,  SS  ,  198  ,  188
122  ,  SS  ,  177  ,  97
125  ,  SS  ,  170  ,  93
143  ,  SS  ,  202  ,  195
170  ,  SS  ,  204  ,  180
268  ,  SS  ,  171  ,  90
316  ,  SS  ,  198  ,  158
352  ,  SS  ,  170  ,  177
383  ,  SS  ,  205  ,  156
386  ,  SS  ,  165  ,  96
395  ,  SS  ,  210  ,  181
404  ,  SS  ,  196  ,  185
431  ,  SS  ,  202  ,  180
439  ,  SS  ,  193  ,  165
447  ,  SS  ,  200  ,  175
449  ,  SS  ,  167  ,  100
451  ,  SS  ,  162  ,  110
454  ,  SS  ,  199  ,  165
458  ,  SS  ,  199  ,  200
461  ,  SS  ,  196  ,  155
477  ,  SS  ,  194  ,  185
486  ,  SS  ,  205  ,  175
493  ,  SS  ,  175  ,  107
513  ,  SS  ,  191  ,  175
516  ,  SS  ,  188  ,  175
518  ,  SS  ,  196  ,  180
519  ,  SS  ,  190  ,  175
545  ,  SS  ,  170  ,  100
8  ,  RT  ,  375  ,  855
9  ,  RT  ,  412  ,  1210
13  ,  RT  ,  390  ,  1120
16  ,  RT  ,  436  ,  1390
18  ,  RT  ,  381  ,  950
24  ,  RT  ,  392  ,  1330
28  ,  RT  ,  401  ,  1190
31  ,  RT  ,  395  ,  1040
33  ,  RT  ,  396  ,  1030
34  ,  RT  ,  391  ,  1300
35  ,  RT  ,  413  ,  1500
36  ,  RT  ,  371  ,  1080
37  ,  RT  ,  385  ,  1320
38  ,  RT  ,  378  ,  1490
39  ,  RT  ,  416  ,  1500
70  ,  RT  ,  390  ,  1080
71  ,  RT  ,  391  ,  1130
72  ,  RT  ,  387  ,  1160
74  ,  RT  ,  435  ,  1385
75  ,  RT  ,  400  ,  1210
94  ,  RT  ,  416  ,  1390
159  ,  RT  ,  390  ,  1060
166  ,  RT  ,  398  ,  1095
169  ,  RT  ,  394  ,  1075
190  ,  RT  ,  377  ,  1055
191  ,  RT  ,  432  ,  1670
199  ,  RT  ,  386  ,  1050
203  ,  RT  ,  374  ,  1010
210  ,  RT  ,  375  ,  1110
224  ,  RT  ,  350  ,  940
57  ,  CH  ,  240  ,  340
86  ,  CH  ,  233  ,  340
188  ,  CH  ,  239  ,  183
221  ,  CH  ,  236  ,  390
288  ,  CH  ,  247  ,  375
322  ,  CH  ,  377  ,  1119
358  ,  CH  ,  213  ,  339
393  ,  CH  ,  243  ,  334
424  ,  CH  ,  225  ,  340
442  ,  CH  ,  252  ,  540
443  ,  CH  ,  237  ,  365
445  ,  CH  ,  268  ,  590
459  ,  CH  ,  254  ,  505
511  ,  CH  ,  268  ,  56
521  ,  CH  ,  145  ,  320
577  ,  CH  ,  266  ,  535
588  ,  CH  ,  261  ,  505
634  ,  CH  ,  230  ,  365
643  ,  CH  ,  230  ,  340
680  ,  CH  ,  254  ,  515
686  ,  CH  ,  253  ,  540
702  ,  CH  ,  260  ,  565
720  ,  CH  ,  255  ,  960
741  ,  CH  ,  260  ,  565
742  ,  CH  ,  234  ,  380
754  ,  CH  ,  169  ,  640
757  ,  CH  ,  223  ,  390
830  ,  CH  ,  230  ,  330
839  ,  CH  ,  252  ,  470
842  ,  CH  ,  233  ,  335